"species","year","tons","sc_name","en_name","group","en_group"
"CONGRIO COLORADO","2016",445,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2016",1250,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2016",145,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2016",1670,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2016",NA,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2016",94,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2016",5,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2016",3,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2016",323298,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2016",15,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2016",55,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2016",9039,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2016",28,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2016",387,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2016",20886,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2016",28108,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2016",8269,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2016",16804,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2016",NA,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2016",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2016",9268,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2016",626,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2016",NA,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2016",47,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
"PEJERREY DE MAR","2016",706,"Odontesthes regia","Chilean silverside","pescado_otros","Fish"
"PEJESAPO","2016",NA,"Sicyases sanguin","Pejesapo","pescado_otros","Fish"
"PESCADO NO CLASIFICADO","2016",9,"Pescado","Fish","pescado_otros","Fish"
"PUYE","2016",1,"Galaxias maculatus","Common galaxias","pescado_otros","Fish"
"RAYA","2016",722,"Zearaja chilensis","Yellownose skate","raya","Ray"
"REINETA","2016",27586,"Brama australis","Southern rays bream","pescado_otros","Fish"
"REMOREMO","2016",NA,"Elagatis bipinnulata","Rainbow runner","pescado_otros","Fish"
"ROBALO","2016",280,"Eleginops maclovinus","Patagonian blennie","pescado_otros","Fish"
"ROCOCO","2016",NA,"Paralonchurus peruanus","Peruvian banded croaker","pescado_otros","Fish"
"ROLLIZO","2016",25,"Pinguipes chilensis","Chilean sandperch","pescado_otros","Fish"
"RONCACHO","2016",92,"Sciaena deliciosa","Lorna drum","pescado_otros","Fish"
"SALMON ARTICO","2016",NA,"Salvelinus alpinus","Arctic char","salmon","Salmon"
"SALMON DEL ATLANTICO","2016",532225,"Salmo salar","Atlantic salmon","salmon","Salmon"
"SALMON PLATEADO","2016",110980,"Oncorhynchus kisutch","Coho salmon","salmon","Salmon"
"SALMON REY","2016",NA,"Oncorhynchus tshawytscha","Chinook salmon","salmon","Salmon"
"SARDINA","2016",89,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2016",23655,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2016",280421,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2016",6,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2016",4490,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2016",85,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2016",NA,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2016",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2016",84607,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2016",NA,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2016",654,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2016",4,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2016",4438,"Fish","Fish","pescado_otros","Fish"
"ACHA","2017",NA,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2017",19,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2017",5510,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2017",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2017",625697,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2017",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2017",40,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2017",23,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2017",48,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2017",20,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2017",12,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2017",NA,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2017",101,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2017",61192,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2017",1,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
"BACALAO DE PROFUNDIDAD","2017",6117,"Dissostichus eleginoides","Patagonian toothfish","pescado_otros","Fish"
"BESUGO","2017",NA,"Epigonus crassicaudus","BESUGO","pescado_otros","Fish"
"BLANQUILLO","2017",28,"Prolatilus jugularis","Pacific sandperch","pescado_otros","Fish"
"BONITO","2017",114,"Sarda chiliensis","Eastern Pacific bonito","bonito","Bonito"
"BRECA O BILAGAY","2017",87,"Cheilodactylus variegatus","Peruvian morwong","pescado_otros","Fish"
"BROTULA","2017",348,"Salilota australis","Tadpole codling","pescado_otros","Fish"
"CABALLA","2017",66407,"Scomber japonicus","Chub mackerel","caballa","Caballa"
"CABINZA","2017",22,"Isacia conceptionis","Cabinza grunt","pescado_otros","Fish"
"CABRILLA","2017",86,"Paralabrax humeralis","Peruvian rock seabass","pescado_otros","Fish"
"CACHURRETA","2017",NA,"Katsuwonus pelamis","Skipjack tuna","atunes","Tuna"
"CAZON","2017",NA,"Galeorhinus galeus","Tope shark","tiburon","Shark"
"CHANCHARRO","2017",43,"Helicolenus lengerichi","Rockfish helicolenus","pescado_otros","Fish"
"COCHINILLA","2017",NA,"Navodon Paschalis","Navodon","pescado_otros","Fish"
"COJINOBA","2017",3562,"Seriolella ","Warehou","pescado_otros","Fish"
"CONGRIO COLORADO","2017",449,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2017",1228,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2017",230,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2017",725,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2017",NA,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2017",NA,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2017",11,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2017",4,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2017",355296,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2017",29,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2017",42,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2017",29954,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2017",11,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2017",238,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2017",21397,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2017",20850,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2017",8233,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2017",16355,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2017",1,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2017",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2017",23034,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2017",667,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2017",NA,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2017",25,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
"PEJERREY DE MAR","2017",550,"Odontesthes regia","Chilean silverside","pescado_otros","Fish"
"PEJESAPO","2017",NA,"Sicyases sanguin","Pejesapo","pescado_otros","Fish"
"PESCADO NO CLASIFICADO","2017",NA,"Pescado","Fish","pescado_otros","Fish"
"PUYE","2017",NA,"Galaxias maculatus","Common galaxias","pescado_otros","Fish"
"RAYA","2017",31,"Zearaja chilensis","Yellownose skate","raya","Ray"
"REINETA","2017",25267,"Brama australis","Southern rays bream","pescado_otros","Fish"
"REMOREMO","2017",NA,"Elagatis bipinnulata","Rainbow runner","pescado_otros","Fish"
"ROBALO","2017",254,"Eleginops maclovinus","Patagonian blennie","pescado_otros","Fish"
"ROCOCO","2017",NA,"Paralonchurus peruanus","Peruvian banded croaker","pescado_otros","Fish"
"ROLLIZO","2017",42,"Pinguipes chilensis","Chilean sandperch","pescado_otros","Fish"
"RONCACHO","2017",73,"Sciaena deliciosa","Lorna drum","pescado_otros","Fish"
"SALMON ARTICO","2017",NA,"Salvelinus alpinus","Arctic char","salmon","Salmon"
"SALMON DEL ATLANTICO","2017",614173,"Salmo salar","Atlantic salmon","salmon","Salmon"
"SALMON PLATEADO","2017",164193,"Oncorhynchus kisutch","Coho salmon","salmon","Salmon"
"SALMON REY","2017",NA,"Oncorhynchus tshawytscha","Chinook salmon","salmon","Salmon"
"SARDINA","2017",513,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2017",19293,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2017",344262,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2017",6,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2017",3154,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2017",24,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2017",NA,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2017",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2017",76960,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2017",5,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2017",567,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2017",6,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2017",2933,"Fish","Fish","pescado_otros","Fish"
"CAMARON DE TALUD","2013",NA,"Campylonotus semistriatus","Razor shrimp","camaron_otro","Shrimp"
"CAMARON NAILON","2013",4583,"Heterocarpus reedi","Chilean nylon shrimp","camaron_nai","Chilean nylon shrimp"
"CANGREJO DORADO DE JF","2013",5,"Chaceon chilensis","Juan Fernrndez golden crab","cangrejos_otros","Crabs"
"CANGREJO O PANCHOTE","2013",25,"Taliepus dentatus","Crab panchote","jaiba","Jaiba"
"CENTOLLA","2013",5743,"Lithodes santolla","Southern king crab","centolla","King crab"
"CENTOLLA DEL NORTE","2013",NA,"Lithodes spp.","Northen king crab","centolla_nor","King crab"
"CENTOLLON","2013",2959,"Paralomis granulosa","Softshell red crab","crustaceos_otros","Crustaceans"
"GAMBA","2013",93,"Haliporoides diomedeae","Chilean knife shrimp","gambas","Prawns"
"JAIBA","2013",NA,"Cancer spp.","Crab","jaiba","Jaiba"
"JAIBA LIMON","2013",394,"Cancer porteri","Crab limon","jaiba","Jaiba"
"JAIBA MARMOLA","2013",3808,"Cancer edwardsi","Mola rock crab","jaiba","Jaiba"
"JAIBA MORA","2013",167,"Homalaspis plana","Blackberry crab","jaiba","Jaiba"
"JAIBA PATUDA","2013",54,"Taliepus marginatus","Crab patuda","crustaceos_otros","Crustaceans"
"JAIBA PELUDA O PACHONA","2013",655,"Cancer setosus","Crab peluda","jaiba","Jaiba"
"JAIBA REINA","2013",129,"Cancer coronatus","Queen Crab","jaiba","Jaiba"
"JAIBA REMADORA","2013",246,"Ovalipes trimaculatus","Rowing Crab","jaiba","Jaiba"
"LANGOSTA DE J. FERNANDEZ","2013",88,"Jasus frontalis","Juan Fernandez rock lobster","crustaceos_otros","Crustaceans"
"LANGOSTA ENANA","2013",5,"Projasus bahamondei","Chilean Jagged Lobster","crustaceos_otros","Crustaceans"
"LANGOSTINO AMARILLO","2013",3010,"Cervimunida johni","Blue squat lobster","langostinos_otros","Langostinos"
"LANGOSTINO COLORADO","2013",8404,"Pleuroncodes monodon","Red squat lobster","langostino_col","Red squat lobster"
"LANGOSTINO ENANO","2013",47,"Pleuroncodes sp","Squat lobster","langostinos_otros","Langistinos"
"PICOROCO","2013",111,"Austromegabalanus psittacus","Giant barnacle","crustaceos_otros","Crustaceans"
"OTROS CRUSTACEOS","2013",6934,"Crustacea","Crustacean","crustaceos_otros","Crustaceans"
"CAMARON DE TALUD","2014",NA,"Campylonotus semistriatus","Razor shrimp","camaron_otro","Shrimp"
"CAMARON NAILON","2014",4597,"Heterocarpus reedi","Chilean nylon shrimp","camaron_nai","Chilean nylon shrimp"
"CANGREJO DORADO DE JF","2014",8,"Chaceon chilensis","Juan Fernrndez golden crab","cangrejos_otros","Crabs"
"CANGREJO O PANCHOTE","2014",NA,"Taliepus dentatus","Crab panchote","jaiba","Jaiba"
"CENTOLLA","2014",6207,"Lithodes santolla","Southern king crab","centolla","King crab"
"CENTOLLA DEL NORTE","2014",NA,"Lithodes spp.","Northen king crab","centolla_nor","King crab"
"CENTOLLON","2014",2251,"Paralomis granulosa","Softshell red crab","crustaceos_otros","Crustaceans"
"GAMBA","2014",71,"Haliporoides diomedeae","Chilean knife shrimp","gambas","Prawns"
"JAIBA","2014",NA,"Cancer spp.","Crab","jaiba","Jaiba"
"JAIBA LIMON","2014",667,"Cancer porteri","Crab limon","jaiba","Jaiba"
"JAIBA MARMOLA","2014",4106,"Cancer edwardsi","Mola rock crab","jaiba","Jaiba"
"JAIBA MORA","2014",110,"Homalaspis plana","Blackberry crab","jaiba","Jaiba"
"JAIBA PATUDA","2014",30,"Taliepus marginatus","Crab patuda","crustaceos_otros","Crustaceans"
"JAIBA PELUDA O PACHONA","2014",525,"Cancer setosus","Crab peluda","jaiba","Jaiba"
"JAIBA REINA","2014",99,"Cancer coronatus","Queen Crab","jaiba","Jaiba"
"JAIBA REMADORA","2014",299,"Ovalipes trimaculatus","Rowing Crab","jaiba","Jaiba"
"LANGOSTA DE J. FERNANDEZ","2014",90,"Jasus frontalis","Juan Fernandez rock lobster","crustaceos_otros","Crustaceans"
"LANGOSTA ENANA","2014",NA,"Projasus bahamondei","Chilean Jagged Lobster","crustaceos_otros","Crustaceans"
"LANGOSTINO AMARILLO","2014",2843,"Cervimunida johni","Blue squat lobster","langostinos_otros","Langostinos"
"LANGOSTINO COLORADO","2014",8191,"Pleuroncodes monodon","Red squat lobster","langostino_col","Red squat lobster"
"LANGOSTINO ENANO","2014",303,"Pleuroncodes sp","Squat lobster","langostinos_otros","Langistinos"
"PICOROCO","2014",132,"Austromegabalanus psittacus","Giant barnacle","crustaceos_otros","Crustaceans"
"OTROS CRUSTACEOS","2014",5242,"Crustacea","Crustacean","crustaceos_otros","Crustaceans"
"CAMARON DE TALUD","2015",NA,"Campylonotus semistriatus","Razor shrimp","camaron_otro","Shrimp"
"CAMARON NAILON","2015",4294,"Heterocarpus reedi","Chilean nylon shrimp","camaron_nai","Chilean nylon shrimp"
"CANGREJO DORADO DE JF","2015",12,"Chaceon chilensis","Juan Fernrndez golden crab","cangrejos_otros","Crabs"
"CANGREJO O PANCHOTE","2015",14,"Taliepus dentatus","Crab panchote","jaiba","Jaiba"
"CENTOLLA","2015",5973,"Lithodes santolla","Southern king crab","centolla","King crab"
"CENTOLLA DEL NORTE","2015",2,"Lithodes spp.","Northen king crab","centolla_nor","King crab"
"CENTOLLON","2015",1966,"Paralomis granulosa","Softshell red crab","crustaceos_otros","Crustaceans"
"GAMBA","2015",103,"Haliporoides diomedeae","Chilean knife shrimp","gambas","Prawns"
"JAIBA","2015",NA,"Cancer spp.","Crab","jaiba","Jaiba"
"JAIBA LIMON","2015",1071,"Cancer porteri","Crab limon","jaiba","Jaiba"
"JAIBA MARMOLA","2015",3905,"Cancer edwardsi","Mola rock crab","jaiba","Jaiba"
"JAIBA MORA","2015",147,"Homalaspis plana","Blackberry crab","jaiba","Jaiba"
"JAIBA PATUDA","2015",17,"Taliepus marginatus","Crab patuda","crustaceos_otros","Crustaceans"
"JAIBA PELUDA O PACHONA","2015",548,"Cancer setosus","Crab peluda","jaiba","Jaiba"
"JAIBA REINA","2015",130,"Cancer coronatus","Queen Crab","jaiba","Jaiba"
"JAIBA REMADORA","2015",184,"Ovalipes trimaculatus","Rowing Crab","jaiba","Jaiba"
"LANGOSTA DE J. FERNANDEZ","2015",91,"Jasus frontalis","Juan Fernandez rock lobster","crustaceos_otros","Crustaceans"
"LANGOSTA ENANA","2015",1,"Projasus bahamondei","Chilean Jagged Lobster","crustaceos_otros","Crustaceans"
"LANGOSTINO AMARILLO","2015",4517,"Cervimunida johni","Blue squat lobster","langostinos_otros","Langostinos"
"LANGOSTINO COLORADO","2015",6267,"Pleuroncodes monodon","Red squat lobster","langostino_col","Red squat lobster"
"LANGOSTINO ENANO","2015",819,"Pleuroncodes sp","Squat lobster","langostinos_otros","Langistinos"
"PICOROCO","2015",175,"Austromegabalanus psittacus","Giant barnacle","crustaceos_otros","Crustaceans"
"OTROS CRUSTACEOS","2015",5797,"Crustacea","Crustacean","crustaceos_otros","Crustaceans"
"CAMARON DE TALUD","2016",NA,"Campylonotus semistriatus","Razor shrimp","camaron_otro","Shrimp"
"CAMARON NAILON","2016",4854,"Heterocarpus reedi","Chilean nylon shrimp","camaron_nai","Chilean nylon shrimp"
"CANGREJO DORADO DE JF","2016",10,"Chaceon chilensis","Juan Fernrndez golden crab","cangrejos_otros","Crabs"
"CANGREJO O PANCHOTE","2016",17,"Taliepus dentatus","Crab panchote","jaiba","Jaiba"
"CENTOLLA","2016",5583,"Lithodes santolla","Southern king crab","centolla","King crab"
"CENTOLLA DEL NORTE","2016",NA,"Lithodes spp.","Northen king crab","centolla_nor","King crab"
"CENTOLLON","2016",3614,"Paralomis granulosa","Softshell red crab","crustaceos_otros","Crustaceans"
"GAMBA","2016",29,"Haliporoides diomedeae","Chilean knife shrimp","gambas","Prawns"
"JAIBA","2016",NA,"Cancer spp.","Crab","jaiba","Jaiba"
"JAIBA LIMON","2016",1927,"Cancer porteri","Crab limon","jaiba","Jaiba"
"JAIBA MARMOLA","2016",4316,"Cancer edwardsi","Mola rock crab","jaiba","Jaiba"
"JAIBA MORA","2016",127,"Homalaspis plana","Blackberry crab","jaiba","Jaiba"
"JAIBA PATUDA","2016",10,"Taliepus marginatus","Crab patuda","crustaceos_otros","Crustaceans"
"JAIBA PELUDA O PACHONA","2016",443,"Cancer setosus","Crab peluda","jaiba","Jaiba"
"JAIBA REINA","2016",126,"Cancer coronatus","Queen Crab","jaiba","Jaiba"
"JAIBA REMADORA","2016",182,"Ovalipes trimaculatus","Rowing Crab","jaiba","Jaiba"
"LANGOSTA DE J. FERNANDEZ","2016",89,"Jasus frontalis","Juan Fernandez rock lobster","crustaceos_otros","Crustaceans"
"LANGOSTA ENANA","2016",NA,"Projasus bahamondei","Chilean Jagged Lobster","crustaceos_otros","Crustaceans"
"LANGOSTINO AMARILLO","2016",4116,"Cervimunida johni","Blue squat lobster","langostinos_otros","Langostinos"
"LANGOSTINO COLORADO","2016",5413,"Pleuroncodes monodon","Red squat lobster","langostino_col","Red squat lobster"
"LANGOSTINO ENANO","2016",189,"Pleuroncodes sp","Squat lobster","langostinos_otros","Langistinos"
"PICOROCO","2016",285,"Austromegabalanus psittacus","Giant barnacle","crustaceos_otros","Crustaceans"
"OTROS CRUSTACEOS","2016",3239,"Crustacea","Crustacean","crustaceos_otros","Crustaceans"
"CAMARON DE TALUD","2017",NA,"Campylonotus semistriatus","Razor shrimp","camaron_otro","Shrimp"
"CAMARON NAILON","2017",4640,"Heterocarpus reedi","Chilean nylon shrimp","camaron_nai","Chilean nylon shrimp"
"CANGREJO DORADO DE JF","2017",14,"Chaceon chilensis","Juan Fernrndez golden crab","cangrejos_otros","Crabs"
"CANGREJO O PANCHOTE","2017",37,"Taliepus dentatus","Crab panchote","jaiba","Jaiba"
"CENTOLLA","2017",5024,"Lithodes santolla","Southern king crab","centolla","King crab"
"CENTOLLA DEL NORTE","2017",NA,"Lithodes spp.","Northen king crab","centolla_nor","King crab"
"CENTOLLON","2017",6132,"Paralomis granulosa","Softshell red crab","crustaceos_otros","Crustaceans"
"GAMBA","2017",59,"Haliporoides diomedeae","Chilean knife shrimp","gambas","Prawns"
"JAIBA","2017",NA,"Cancer spp.","Crab","jaiba","Jaiba"
"JAIBA LIMON","2017",1794,"Cancer porteri","Crab limon","jaiba","Jaiba"
"JAIBA MARMOLA","2017",4872,"Cancer edwardsi","Mola rock crab","jaiba","Jaiba"
"JAIBA MORA","2017",101,"Homalaspis plana","Blackberry crab","jaiba","Jaiba"
"JAIBA PATUDA","2017",19,"Taliepus marginatus","Crab patuda","crustaceos_otros","Crustaceans"
"JAIBA PELUDA O PACHONA","2017",274,"Cancer setosus","Crab peluda","jaiba","Jaiba"
"JAIBA REINA","2017",136,"Cancer coronatus","Queen Crab","jaiba","Jaiba"
"JAIBA REMADORA","2017",81,"Ovalipes trimaculatus","Rowing Crab","jaiba","Jaiba"
"LANGOSTA DE J. FERNANDEZ","2017",67,"Jasus frontalis","Juan Fernandez rock lobster","crustaceos_otros","Crustaceans"
"LANGOSTA ENANA","2017",NA,"Projasus bahamondei","Chilean Jagged Lobster","crustaceos_otros","Crustaceans"
"LANGOSTINO AMARILLO","2017",3941,"Cervimunida johni","Blue squat lobster","langostinos_otros","Langostinos"
"LANGOSTINO COLORADO","2017",5661,"Pleuroncodes monodon","Red squat lobster","langostino_col","Red squat lobster"
"LANGOSTINO ENANO","2017",647,"Pleuroncodes sp","Squat lobster","langostinos_otros","Langistinos"
"PICOROCO","2017",239,"Austromegabalanus psittacus","Giant barnacle","crustaceos_otros","Crustaceans"
"OTROS CRUSTACEOS","2017",27,"Crustacea","Crustacean","crustaceos_otros","Crustaceans"
"ABALON JAPONES","2013",23,"Haliotis discus hannai","Japanese abalone","abalon japones","Abalone"
"ABALON ROJO","2013",1111,"Haliotis rufescens","Red Abalone","abalon_otras","Abalone"
"ALMEJA","2013",6299,"Venus antiqua","Chilean clam","almeja_otras","Clams"
"CALAMAR","2013",15,"Loligo gahi","Patagonian squid","moluscos_otros","Mollusks"
"CARACOL LOCATE","2013",305,"Thais chocolata","Snail locate","caracoles_otros","Gastropods"
"CARACOL PALO PALO","2013",263,"Argobuccinum spp.","Sanil palo palo","caracoles_otros","Gastropods"
"CARACOL PICUYO","2013",9,"Odontocymbiola magellanica","Snail picuyo","caracoles_otros","Gastropods"
"CARACOL PIQUILHUE","2013",1,"Adelomelon ancilla","Snail Piquilhue","caracoles_otros","Gastropods"
"CARACOL RUBIO","2013",6,"Xantochorus cassidiformis","Snail Rubio","caracoles_otros","Gastropods"
"CARACOL TEGULA","2013",55,"Tegula atra","Snail tegula","caracoles_otros","Gastropods"
"CARACOL TROPHON","2013",NA,"Trophon geversianus","Gevers's trophon","caracoles_otros","Gastropods"
"CARACOL TRUMULCO","2013",134,"Chorus giganteus","Snail trumulco","caracoles_otros","Gastropods"
