Short_Title,Topics within,Author,Institution,Dataset_Folder_Location,Subject_name,Country,Region,Location,Start_Year,End_Year,Temporal_Resolution,Spatial_Resolution,File_name,Compilation_Title,Publication_Year,Reference,Link,Notes
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Peru,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/604?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Chile,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/152?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
Sea around us dataset on fisheries landings volume and revenue,Landings; economics; diconstructed,Zeller et al,UBC,Data/International,Multiple species,Brazil,National,National,1951,2014,Years,Country level,SAU_Dataset,International,2016,"Zeller, D., Palomares, M. L. D., Tavakolie, A., Ang, M., Belhabib, D., Cheung, W. W. L., et al. (2016). Still catching attention: Sea Around Us reconstructed global catch data, their spatial expression and public accessibility. Marine Policy, 70, 145_152. http://doi.org/10.1016/J.MARPOL.2016.04.046",http://www.seaaroundus.org/data/#/eez/76?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Peru,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Chile,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
"FAO dataset of landings, aquaculture and trade",Landings; trade volume; aquaculture,FAO,FAO,Data/International,Multiple species,Brazil,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Peru,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Chile,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
FAO trade dataset (USD),Trade (USD),FAO,FAO,Data/International,Multiple species,Brazil,National,National,2010,2018,Years,Country level,International_Data,International,2018,"FAO. (2018). The State of World Fisheries and Aquaculture 2018. Rome, Italy.",www.fao.org/3/i9540en/I9540EN.pdf,
National Seafood Supply dataset flow,National seafood production supply chain,Palacios-Abrantes et al,UBC,Data/International,Multiple species,Peru,National,National,2014,2018,Average,Country level,International_Data,International,NA,NA,NA,Data generated from the model developed
National Seafood Supply dataset flow,National seafood production supply chain,Palacios-Abrantes et al,UBC,Data/International,Multiple species,Chile,National,National,2014,2018,Average,Country level,International_Data,International,NA,NA,NA,Data generated from the model developed
National Seafood Supply dataset flow,National seafood production supply chain,Palacios-Abrantes et al,UBC,Data/International,Multiple species,Brazil,National,National,2014,2018,Average,Country level,International_Data,International,NA,NA,NA,Data generated from the model developed
Regional Landings,Landings,Univali,Univali,clean_databases/Brazil,Multiple species,Brazil,Regional,Santa Catarina,2000,2018,months,Santa Catarina state,santa catarina_2000_2018,Brazil database,NA,NA,NA,
Regional Landings,"Landings, value",Instituto de Pesca de Sao Paulo,Instituto de Pesca de Sao Paulo,clean_databases/Brazil,Multiple species,Brazil,Regional,Sao Paulo,1998,2018,months,Sao Paulo state,sao paulo_2000_2018,Brazil database,NA,NA,NA,
Regional Landings,"Landings, value",Fundepag,Fundepag,clean_databases/Brazil,Multiple species,Brazil,Regional,Parana,2016,2018,months,Parana state,parana,Brazil database,NA,NA,NA,
Regional Landings,Landings,Amazon state fisheries department,Amazon state fisheries department,clean_databases/Brazil,total production,Brazil,Regional,Amazon,2009,2017,Years,Amazonas state,amazon,Brazil database,2018,NA,NA,
Fishing Licenses,Number of registered fishers per region,Government ,Government ,clean_databases/Brazil,fishers,Brazil,National,National,2015,2015,Year,Brazil,rgp_region,Brazil database,2017,NA,NA,
Fishing Licenses,Number of registered fishers per year,Fisheries and Aquaculture Ministry,Fisheries and Aquaculture Ministry,clean_databases/Brazil,fishers,Brazil,National,National,2003,2013,years,Brazil,RGP_MPA,Brazil database,NA,NA,NA,
Fisheries market,"Quantity, price",CEAGESP,CEAGESP,clean_databases/Brazil,Multiple species,Brazil,Regional,Sao Paulo,2016,2017,months,Sao Paulo state,producao_seagesp,Brazil database,NA,NA,NA,
Seafood industries,"Quantity, origin",Agriculture Ministry,Agriculture Ministry,clean_databases/Brazil,Multiple species,Brazil,National,National,2016,2017,months,Brazil,SIGSIF,Brazil database,NA,NA,https://auditoria.cgu.gov.br/download/9977.pdf,
Seafood Import and Export,"quantity, value","Ministry of Development, Industry and Foreign Trade","Ministry of Development, Industry and Foreign Trade",clean_databases/Brazil,species groups,Brazil,National,National,2014,2017,months,Brazil,MDIC,Brazil database,NA,NA,NA,
Regional household income,per capita income,IBGE,IBGE,clean_databases/Brazil,state,Brazil,National,National,2017,2017,Year,Brazil,IBGE_renda,Brazil database,NA,NA,NA,
Seafood consumption,protein consumption per region,IBGE,IBGE,clean_databases/Brazil,region,Brazil,National,National,2008,2009,Year,Brazil,IBGE_consumption,Brazil database,NA,NA,NA,
Species names,"Scientific, english and portuguese species names",Viana,NA,clean_databases/Brazil,,Brazil,National,National,NA,NA,NA,NA,species_sci_por_eng,Brazil database,NA,NA,NA,
Landings per sector,"Total landings (Tonnes) per sector (artisanal, industrial, fabric vessel) per region and month",SERNAPESCA,SERNAPESCA,,Multiple species,Chile,Regional,National,2013,2017,Month,Region level,landings_SERNAPESCA.csv,landings_SERNAPESCA.csv,,Updated annually (around September a new year of data is published),SERNAPESCA's website,
Landings annual,Total production (Tonnes of landings and aquaculture combined) per year and region,SERNAPESCA,SERNAPESCA,,Multiple species,Chile,Regional,National,2013,2017,Yearly,Region level,landings_anuarios.csv,landings_anuarios.csv,,Updated annually,SERNAPESCA's website,
Aquaculture,Tonnes harvested from aquaculture centers in Chile,SERNAPESCA,SERNAPESCA,,Multiple species,Chile,Regional,National,2012,2017,Month,Region level,aquaculture_SERNAPESCA,aquaculture_SERNAPESCA,,Updated annually,SERNAPESCA's website,
Exports,Tonnes and values (US dollars) of exports aggregated in groups of species,ADUANA CHILE,Chilean Customs,,Groups of species,Chile,Regional,National,2013,2018 (incomplete),Yearly,Region level,exports_ADUANA.csv,exports_ADUANA.csv,,Updated monthly,ADUANAS CHILE,
Imports,Tonnes and values (US dolars) of imports aggregated in groups of species,ADUANA CHILE,Chilean Customs,,Groups of species,Chile,National,National,2013,2018 (incomplete),Yearly,National level,imports.ADUANA.csv,imports.ADUANA.csv,,Updated monthly,ADUANAS CHILE,
Processing facilities material,Tonnes of raw material (M) and product (P) that goes into and out of processing facilities per product and use (HC or NHC),SERNAPESCA,SERNAPESCA,,Multiple species,Chile,Regional,National,2013,2017,Yearly,Region level,processing.csv,processing.csv,,Updated annually,SERNAPESCA's website,
Centers aquaculture,Number of aquaculture centers in each region per type of farmed species,SERNAPESCA,SERNAPESCA,,Groups of species,Chile,Regional,National,2017,2017,One year,Region level,centers_per_species_aquaculture.csv,centers_per_species_aquaculture.csv,,Updated annually,SERNAPESCA's upon request,
Employment in procesing facilities,"Number of people working in processing facilities per type of product, gender and macrozone",IFOP,IFOP,,Employees macrozone,Chile,Regional,National,2015,2015,One year,"Macrozone level (North, South, Austral South)",employment_per_processing_type_area.csv,employment_per_processing_type_area.csv,,One time,"Report: Monitoreo econ—mico de la industria pesquera y Acu’cola Nacional, 2015",
National records of artisanal fishers ,"Number of artisanal fishers per region, boats per region, vessels per region and workers per processing facility",SERNAPESCA,SERNAPESCA,,Fishers name,Chile,Regional,National,-,2017,Up to 2017,Region level,RPA_RPI_mano_obra.xlsx - Sheet 1,RPA_RPI_mano_obra.xlsx - Sheet 1,,Updated annually,SERNAPESCA's upon request,
Artisanal vessels ,Number of artisanal vessels registered per year and region,SERNAPESCA,SERNAPESCA,,Vessel name,Chile,Regional,National,-,2017,Up to 2017,Region level,RPA_RPI_mano_obra.xlsx - Sheet 2,RPA_RPI_mano_obra.xlsx - Sheet 2,,Updated annually,SERNAPESCA's upon request,
Industrial vessels,Number of industrial vessels registerd per year and region,SERNAPESCA,SERNAPESCA,,Name of vessel owner,Chile,Regional,National,-,2017,Up to 2017,Region level,RPA_RPI_mano_obra.xlsx - Sheet 3,RPA_RPI_mano_obra.xlsx - Sheet 3,,Updated annually,SERNAPESCA's upon request,
Employment in processing facilities,Number of permanent or occational workers on processing plants per year and region,SERNAPESCA,SERNAPESCA,,Processing plant name,Chile,Regional,National,2010,2017,Yearly,Region level,RPA_RPI_mano_obra.xlsx - Sheet 4,RPA_RPI_mano_obra.xlsx - Sheet 4,,Updated annually,SERNAPESCA's upon request,
Prices artisanal,"Dock price (in US dollars, price provided by SERNAPESCA transformed to 2018 US dollar) per ton and artisanals' landed tons by species, year and region",SERNAPESCA,SERNAPESCA,,Species,Chile,Regional,National,2013,2017,Yearly,Region level,prices_art_SERNAPESCA.csv,prices_art_SERNAPESCA.csv,,Updated annually,SERNAPESCA's upon request,
GDP region,Annual total regional GDP (PIB in spanish) and regional GDP from the fisheries sector ,Banco Central de Chile,Banco Central de Chile,,,Chile,Regional,National,2013,2016,Yearly,Region level,PIB_region.csv,PIB_region.csv,,Updated annually,Banco Central de Chile,
species index,"All SERNAPESCA's species with its correspoinding english name, scientific name, trade name (matching group based on trade categories) to match all other databeses and yield",Rivera_Vargas,NA,,All species involved in this study,Chile,-,National,NA,NA,NA,NA,species_index.csv,species_index.csv,,NA,Personal creation,
exports index,All exports groups of species and its corresponding trade name to match all other databases,Rivera_Vargas,NA,,All species involved in this study,Chile,-,National,NA,NA,NA,NA,exports_index.csv,exports_index.csv,,NA,Personal creation,
imports index,All imports groups of species and its corresponding trade name to match all other databases,Rivera_Vargas,NA,,All species involved in this study,Chile,-,National,NA,NA,NA,NA,imports_index.csv,imports_index.csv,,,Personal creation,